id,name_es,category,equipment,primaryMuscles,secondaryMuscles,isCompound,difficulty,isTimeBased
adductor_rockback,Rockback de aductores,mobility,,adductors,"glutes;core",true,beginner,true
ankle_circles,Círculos de tobillo,mobility,,calves,,true,beginner,true
arm_circles,Círculos de brazos,mobility,,shoulders,,true,beginner,true
bear_crawl,Oso caminante,cardio,,"core;shoulders","quads;chest",true,intermediate,true
biceps_wall_stretch,Estiramiento de bíceps en pared,mobility,,biceps,forearms,false,beginner,true
bodyweight_good_morning,Good morning sin peso,legs,,hamstrings,"glutes;back",false,beginner,false
broad_jumps,Salto horizontal,cardio,,"quads;glutes","hamstrings;calves",true,intermediate,true
burpee,Burpee,full_body,,"core;chest;quads","shoulders;glutes",true,intermediate,false
burpee_sin_salto,Burpee sin salto,cardio,,"core;chest;quads","shoulders;glutes",true,beginner,true
burpees,Burpees,cardio,,"core;chest;quads","shoulders;glutes",true,intermediate,true
butt_kicks,Talones al glúteo,cardio,,"hamstrings;calves",quads,true,beginner,true
calf_raise,Elevación de talones,legs,,calves,,false,beginner,false
calf_stretch,Estiramiento de gemelos,mobility,,calves,,false,beginner,true
cat_cow,Gato-vaca,mobility,,"back;core",,true,beginner,true
close_grip_push_up,Flexión cerrada,push,,triceps,chest,false,beginner,false
copenhagen_plank,Plancha copenhague,legs,,adductors,"core;abs",false,advanced,true
cossack_squat,Sentadilla cosaco,legs,,adductors,"quads;glutes",true,intermediate,false
crunch,Crunch abdominal,core,,abs,,false,beginner,false
dead_bug,Dead bug,core,,"core;abs",,false,beginner,false
deep_squat_hold,Sentadilla profunda mantenida,mobility,,"quads;glutes","hamstrings;core",true,intermediate,true
doorway_chest_stretch,Estiramiento de pecho en marco de puerta,mobility,,chest,shoulders,false,beginner,true
downdog_to_cobra,Perro boca abajo a cobra,mobility,,"back;shoulders","core;chest",true,beginner,true
dynamic_bodyweight_squat,Sentadilla dinámica,mobility,,"quads;glutes","hamstrings;core",true,beginner,true
fire_hydrants,Hidrante,mobility,,glutes,core,true,beginner,true
forearm_extensor_stretch,Estiramiento de extensores del antebrazo,mobility,,forearms,,false,beginner,true
forearm_flexor_stretch,Estiramiento de flexores del antebrazo,mobility,,forearms,,false,beginner,true
glute_bridge,Puente de glúteos,legs,,glutes,"hamstrings;core",false,beginner,false
glute_bridge_activation,Activación de puente de glúteos,mobility,,glutes,"hamstrings;core",true,beginner,true
hamstring_sweep,Barrido de isquiotibiales,mobility,,hamstrings,"glutes;back",true,beginner,true
heel_dig_isometric_hold,Isométrico de talón clavado,legs,,hamstrings,glutes,false,beginner,true
high_knees,Rodillas al pecho,cardio,,"quads;core",calves,true,beginner,true
hip_90_90_switch,Cambios de cadera 90/90,mobility,,glutes,"hamstrings;core",true,intermediate,true
hip_airplanes,Aviones de cadera,mobility,,glutes,"hamstrings;core",true,advanced,true
hip_circles,Círculos de cadera,mobility,,glutes,hamstrings,true,beginner,true
hip_thrust_bodyweight,Hip thrust,legs,,glutes,"hamstrings;core",true,beginner,false
inchworm_walkout,Inchworm,cardio,,"core;shoulders","hamstrings;chest",true,intermediate,true
jumping_jacks,Salto de tijera,cardio,,"calves;core",shoulders,true,beginner,true
jumping_lunges,Zancada saltada,cardio,,"quads;glutes","hamstrings;calves",true,intermediate,true
lat_stretch_dynamic,Estiramiento dinámico de dorsal,mobility,,lats,back,true,beginner,true
lat_stretch_static,Estiramiento estático de dorsal,mobility,,lats,back,false,beginner,true
lateral_lunge,Zancada lateral,legs,,adductors,"quads;glutes",true,intermediate,false
lateral_lunge_dynamic,Zancada lateral dinámica,mobility,,"quads;glutes",hamstrings,true,intermediate,true
lateral_shuffle,Desplazamiento lateral,cardio,,"quads;glutes","calves;core",true,beginner,true
leg_raise,Elevación de piernas,core,,"abs;core",,false,intermediate,false
leg_swings,Balanceo de pierna,mobility,,"hamstrings;glutes",quads,true,beginner,true
levator_scapulae_stretch,Estiramiento del elevador de la escápula,mobility,,"traps;shoulders",back,false,beginner,true
long_lever_glute_bridge,Puente de glúteos con palanca larga,legs,,"glutes;hamstrings",core,false,intermediate,false
lunge,Zancada,legs,,"quads;glutes","hamstrings;calves",true,beginner,false
mountain_climber,Escalador,core,,"core;abs","chest;shoulders",true,beginner,false
mountain_climbers,Escaladores,cardio,,"core;abs","chest;shoulders",true,beginner,true
overhead_triceps_stretch,Estiramiento de tríceps por encima de la cabeza,mobility,,triceps,shoulders,false,beginner,true
pike_push_up,Flexión en pica,push,,"shoulders;triceps","chest;core",true,intermediate,false
plank,Plancha,core,,"core;abs",shoulders,false,beginner,false
plank_shoulder_taps,Toques de hombro en plancha,mobility,,"core;shoulders",chest,true,intermediate,true
prone_swimmers,Nadadores en prono,mobility,,"back;shoulders","glutes;core",true,beginner,true
push_up,Flexión de brazos,push,,"chest;triceps","shoulders;core",true,beginner,false
reverse_plank_bridge,Plancha invertida,legs,,"hamstrings;glutes","core;shoulders",false,intermediate,false
russian_twist,Giro ruso,core,,"abs;core",,false,beginner,false
scapular_pushup,Flexión escapular,mobility,,"chest;shoulders",triceps,true,beginner,true
scapular_retraction,Retracción escapular,mobility,,back,traps,false,beginner,true
shadow_boxing,Sombra de boxeo,cardio,,"shoulders;core","triceps;chest",true,beginner,true
shoulder_rotation,Rotación de hombro,mobility,,shoulders,,true,beginner,true
side_lying_hip_adduction,Aducción de cadera tumbado de lado,legs,,adductors,,false,beginner,false
side_plank,Plancha lateral,core,,"core;abs",shoulders,false,beginner,false
single_leg_calf_raise,Elevación de talones a una pierna,legs,,calves,,false,beginner,false
single_leg_glute_bridge,Puente de glúteos a una pierna,legs,,glutes,"hamstrings;core",false,intermediate,false
single_leg_rdl_bw,Peso muerto rumano a una pierna,legs,,"hamstrings;glutes","back;core",true,intermediate,false
skater_jumps,Saltos laterales tipo patinador,cardio,,"glutes;quads","calves;core",true,intermediate,true
snow_angel_prone,Ángeles de nieve invertidos,pull,,"back;shoulders","traps;core",false,beginner,false
squat_bodyweight,Sentadilla libre,legs,,"quads;glutes","hamstrings;core",true,beginner,false
squat_jumps,Sentadilla con salto,cardio,,"quads;glutes","calves;core",true,intermediate,true
standing_quad_stretch,Estiramiento de cuádriceps de pie,mobility,,quads,,false,beginner,true
step_ups,Subida a banco/escalón,cardio,,"quads;glutes","hamstrings;calves",true,beginner,true
sumo_squat,Sentadilla sumo,legs,,"quads;glutes",hamstrings,false,beginner,false
superman,Superman,pull,,"back;glutes","hamstrings;core",false,beginner,false
thoracic_open_book,Apertura torácica,mobility,,"back;core",shoulders,true,beginner,true
torso_twists,Giros de torso,mobility,,core,abs,true,beginner,true
upper_trap_stretch,Estiramiento de trapecio superior,mobility,,traps,shoulders,false,beginner,true
walking_lunge_twist,Zancada caminando con giro,mobility,,"quads;glutes","core;hamstrings",true,intermediate,true
wall_slides,Deslizamiento en pared,mobility,,shoulders,back,true,beginner,true
worlds_greatest_stretch,El mejor estiramiento del mundo,mobility,,"hamstrings;glutes","core;shoulders",true,intermediate,true
wrist_mobility,Movilidad de muñeca,mobility,,forearms,,false,beginner,true
ytw_prone,Y-T-W en prono,pull,,"back;shoulders",traps,false,beginner,false
ab_machine_crunch,Crunch en máquina abdominal,core,abMachine,abs,core,false,beginner,false
ab_roller,Rueda abdominal,core,abRoller,"abs;core",lats,false,advanced,false
bulgarian_split_squat,Sentadilla búlgara,legs,adjustableBench,"quads;glutes","hamstrings;core",true,intermediate,false
preacher_curl_db,Curl predicador con mancuerna,pull,"adjustableBench;dumbbells",biceps,forearms,false,intermediate,false
